estimation_id,index,parent_index,baseline_device_type,baseline_device_idx,cli_loop_id,source_location,offload_index,offload_head,location,module,node_type,offload_elapsed_time_for_summary,offload_elapsed_time,total_time_in_hierarchy,total_time_in_hierarchy_percent,app_time,total_time_per_largest_thread,self_time_per_largest_thread,dependency_type,baseline_global_size,baseline_local_size,exe_target,why_not_offloaded,offload_device_type,offload_device_idx,offload_head_type,speed_up,offload_bounded_by,max_speed_up,offloaded_rank,non_offloaded_rank,total_est_time_accel_seconds,total_est_time_accel,total_est_time_accel_percent,total_time_on_accel,total_est_time_no_taxes,time_by_compute,time_by_hbm_bw,time_by_gti_bw,time_by_l1_bw,time_by_l3_bw,time_by_global_atomic,sum_latencies,memory_latencies,atomic_latencies,non_accel_time,does_fit,is_offloaded,is_offload_candidate,total_time_in_mpi,measured_total_time_in_mpi,total_time_in_ignored,measured_total_time_in_ignored,node_position,offload_head_loc,frac_offloaded,offload_tax,data_tax,data_tax_no_reuse,data_reuse_gain,data_reuse_gain_relative,launch_tax,invoke_tax,config_tax,transfer_tax,proxy_tax,proxy_region_time,global_size,global_work_items_count,global_work_size,local_size,local_work_items_count,local_work_size,work_dim,collapsed_with_head,simd_width,global_size_error,parallel_factor,parallel_threads,parallel_threads_per_eu,unroll_factor,est_instance_count,eu_active,eu_stalled,eu_idle,thread_occupancy,data_transferred_total,data_transferred_in_total,data_transferred_out_total,data_transferred_shared,data_transferred_in,data_transferred_out,data_transferred_inout,data_transferred_private,memory_objects_info,data_transferred_total_no_reuse,data_transferred_in_total_no_reuse,data_transferred_out_total_no_reuse,average_trip_count,call_count,trip_count_total,l1_bytes,l1_read_bytes,l1_write_bytes,l1_bytes_ck,l1_read_bytes_ck,l1_write_bytes_ck,l1_total_bw,l1_read_bw,l1_write_bw,l1_total_bw_util,l1_read_bw_util,l1_write_bw_util,l1_read_time,l1_write_time,l3_bytes,l3_read_bytes,l3_write_bytes,l3_bytes_ck,l3_read_bytes_ck,l3_write_bytes_ck,l3_total_bw,l3_read_bw,l3_write_bw,l3_total_bw_util,l3_read_bw_util,l3_write_bw_util,l3_read_time,l3_write_time,gti_bytes,gti_read_bytes,gti_write_bytes,gti_bytes_ck,gti_read_bytes_ck,gti_write_bytes_ck,gti_total_bw,gti_read_bw,gti_write_bw,gti_total_bw_util,gti_read_bw_util,gti_write_bw_util,gti_read_time,gti_write_time,hbm_bytes,hbm_read_bytes,hbm_write_bytes,hbm_bytes_ck,hbm_read_bytes_ck,hbm_write_bytes_ck,hbm_total_bw,hbm_read_bw,hbm_write_bw,hbm_total_bw_util,hbm_read_bw_util,hbm_write_bw_util,hbm_read_time,hbm_write_time,atomic_accesses,atomic_hw_writes_per_send,atomic_repetitions,atomic_throughput_per_sc,atomic_throughput_per_ck,fpu_util,flop_per_cycle,bytes_per_iter,bytes_rd_per_iter,bytes_wr_per_iter,float_ops_per_iter,compute,compute_with_memory,vector_compute,vector_compute_with_memory,compute_others_per_iter,noncompute_others_per_iter,ABS_per_iter,Add_per_iter,DIV_per_iter,FMA_per_iter,MAX_per_iter,MIN_per_iter,Mul_per_iter,RECCP_per_iter,SAD_per_iter,SCALE_per_iter,SIGN_per_iter,SQRT_per_iter,Sub_per_iter,Mov_per_iter,Send_per_iter,ABS_impact,Add_impact,DIV_impact,FMA_impact,MAX_impact,MIN_impact,Mul_impact,RECCP_impact,SAD_impact,SCALE_impact,SIGN_impact,SQRT_impact,Sub_impact,Mov_impact,Send_impact,ABS_count,Add_count,DIV_count,FMA_count,MAX_count,MIN_count,Mul_count,RECCP_count,SAD_count,SCALE_count,SIGN_count,SQRT_count,Sub_count,Mov_count,Send_count,float32_ops,float32_op,float32_ai,float64_ops,float64_op,float64_ai,int32_ops,int32_op,int32_ai,int64_ops,int64_op,int64_ai,diagnostics,system_module,module_type,no_execution_count,internal_error,measured_offload_elapsed_time,measured_total_time_in_hierarchy,measured_app_time
,2,18446744073709551611,1,0,,,,func@0x266b0,func@0x266b0,libstlport-dynamic.so,,0.0200181929,0.0200181929,0.0200181929,1.3901522847222216,1.4400000000000004,0.0200181929,0.0200181929,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0200181929,0.0200181929,1.4400000000000004
,3,18446744073709551611,1,0,,,,_start,_start,mandelbrot,,1.4199818071000003,1.4199818071000003,1.4199818071000003,98.60984771527778,1.4400000000000004,1.4199818071000003,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4199818071000003,1.4199818071000003,1.4400000000000004
,834,3,1,0,,,,__libc_start_main,__libc_start_main,libc.so.6,,1.4199818071000003,1.4199818071000003,1.4199818071000003,98.60984771527778,1.4400000000000004,1.4199818071000003,0.0,,,,X86,Cannot be modelled: Not User Code,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4199818071000003,1.4199818071000003,1.4400000000000004
,640,834,1,0,,,,[mandelbrot],[mandelbrot],mandelbrot,,0.10212868619999999,0.10212868619999999,0.10212868619999999,7.092269874999997,1.4400000000000004,0.10212868619999999,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10212868619999999,0.10212868619999999,1.4400000000000004
,641,640,1,0,,main.cpp:35,,Execute,Execute at main.cpp:35,mandelbrot,,0.10212868619999999,0.10212868619999999,0.10212868619999999,7.092269874999997,1.4400000000000004,0.10212868619999999,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10212868619999999,0.10212868619999999,1.4400000000000004
,966,641,1,0,,mandel.hpp:225,,MandelParallel::Evaluate,MandelParallel::Evaluate at mandel.hpp:225,mandelbrot,,0.10212868619999999,0.10212868619999999,0.10212868619999999,7.092269874999997,1.4400000000000004,0.10212868619999999,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,50.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10212868619999999,0.10212868619999999,1.4400000000000004
,967,966,1,0,,buffer.hpp:60,,sycl::_V1::detail::buffer_plain::~buffer_plain,sycl::_V1::detail::buffer_plain::~buffer_plain at buffer.hpp:60,mandelbrot,,0.0121264362,0.0121264362,0.0121264362,0.8421136249999998,1.4400000000000004,0.0121264362,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,50.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0121264362,0.0121264362,1.4400000000000004
,968,967,1,0,,shared_ptr_base.h:1169,,"std::__shared_ptr<sycl::_V1::detail::buffer_impl, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr","std::__shared_ptr<sycl::_V1::detail::buffer_impl, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr at shared_ptr_base.h:1169",mandelbrot,,0.0121264362,0.0121264362,0.0121264362,0.8421136249999998,1.4400000000000004,0.0121264362,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,50.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0121264362,0.0121264362,1.4400000000000004
,969,968,1,0,,shared_ptr_base.h:727,,std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count,std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count at shared_ptr_base.h:727,mandelbrot,,0.0121264362,0.0121264362,0.0121264362,0.8421136249999998,1.4400000000000004,0.0121264362,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,50.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0121264362,0.0121264362,1.4400000000000004
,733,969,1,0,,shared_ptr_base.h:148,,std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release,std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release at shared_ptr_base.h:148,mandelbrot,,0.0121264362,0.0121264362,0.0121264362,0.8421136249999998,1.4400000000000004,0.0121264362,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,50.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0121264362,0.0121264362,1.4400000000000004
